Date,Search,Social,TV
2024-01-01,21827.09,18027.1,32799.63
2024-01-08,22184.4,16638.72,33598.17
2024-01-15,22409.73,18063.89,26418.14
2024-01-22,23780.86,17757.23,24671.02
2024-01-29,23596.84,18560.82,26074.98
2024-02-05,24228.71,15326.59,25437.9
2024-02-12,24904.83,16024.55,26677.88
2024-02-19,25034.62,14621.6,27022.85
2024-02-26,21160.42,14612.98,31351.54
2024-03-04,25276.4,13531.18,34525.25
2024-03-11,24514.55,14059.38,26205.96
2024-03-18,25484.73,14401.88,27169.91
2024-03-25,24027.2,13146.56,25154.06
2024-04-01,24499.86,16135.75,24525.27
2024-04-08,25701.75,15285.78,26910.25
2024-04-15,26430.25,13957.97,23438.67
2024-04-22,25761.52,12909.6,33060.36
2024-04-29,24100.57,15473.89,34045.4
2024-05-06,25048.32,14610.47,24988.76
2024-05-13,25238.56,15167.99,25873.53
2024-05-20,22988.59,15971.52,22685.68
2024-05-27,22909.3,17195.89,28148.29
2024-06-03,23614.86,17417.71,27952.53
2024-06-10,23321.33,16635.78,27626.09
2024-06-17,24142.41,17918.1,36515.58
2024-06-24,24249.18,18251.19,32070.72
2024-07-01,21818.76,19623.32,27469.47
2024-07-08,18811.45,18847.04,27000.53
2024-07-15,20577.05,17945.69,29104.78
2024-07-22,20493.74,19008.51,25196.93
2024-07-29,20816.11,16008.45,26395.9
2024-08-05,21471.66,16783.31,30110.18
2024-08-12,21782.08,14961.92,32780.15
2024-08-19,21999.04,14053.9,34783.12
2024-08-26,21535.9,15932.25,26093.73
2024-09-02,18022.91,14945.68,25654.95
2024-09-09,18648.72,14673.67,23175.8
2024-09-16,19594.74,14875.96,28606.58
2024-09-23,17879.72,14321.78,26930.58
2024-09-30,18359.65,14933.38,26158.21
2024-10-07,20749.3,14473.2,33515.73
2024-10-14,19573.81,13756.03,33201.54
2024-10-21,19524.41,14872.65,28152.32
2024-10-28,17448.84,15049.68,26413.52
2024-11-04,20740.95,15827.44,24209.01
2024-11-11,19668.84,14251.79,26815.31
2024-11-18,19248.92,16788.13,26878.57
2024-11-25,20889.84,17795.2,24717.2
2024-12-02,20702.08,19515.75,29647.85
2024-12-09,20639.61,17546.53,36422.86
2024-12-16,24019.05,17505.86,26630.92
2024-12-23,20833.67,18198.56,25491.37
2024-12-30,19473.97,20202.47,25699.41
2025-01-06,21128.97,18428.61,31696.9
2025-01-13,20875.72,17401.49,26850.48
2025-01-20,24541.33,17389.71,23115.95
2025-01-27,24789.49,17715.41,29477.51
2025-02-03,25268.38,18906.68,34011.04
2025-02-10,22368.5,15421.94,26084.45
2025-02-17,24792.05,15256.61,23926.5
2025-02-24,22915.99,15863.28,21837.89
2025-03-03,25019.13,16272.27,26128.34
2025-03-10,24139.24,13608.87,24786.09
2025-03-17,25911.7,14539.39,31994.48
2025-03-24,25524.0,14171.52,32600.61
2025-03-31,26607.93,12400.52,32280.28
2025-04-07,25719.4,12515.48,21939.99
2025-04-14,24633.3,13948.79,26621.39
2025-04-21,23148.96,12330.23,26592.54
2025-04-28,25670.87,15541.05,25656.71
2025-05-05,24140.71,14559.03,25062.96
2025-05-12,21496.95,15891.15,26449.79
2025-05-19,23000.13,16636.98,36090.37
2025-05-26,22981.42,16188.68,32874.44
2025-06-02,23150.91,17310.92,29320.42
2025-06-09,24233.73,16933.78,27205.86
2025-06-16,23044.44,18366.74,24620.46
2025-06-23,23018.35,16233.34,26995.15
2025-06-30,22001.65,18665.76,26702.96
2025-07-07,20272.51,18908.7,28342.17
2025-07-14,23493.72,15892.47,34385.07
2025-07-21,22943.43,17900.07,30945.9
2025-07-28,21471.54,15358.59,26528.24
2025-08-04,20542.97,16314.94,28472.29
2025-08-11,20524.14,18079.37,24511.47
2025-08-18,20146.57,15045.12,27166.21
2025-08-25,18563.12,16981.89,27424.91
2025-09-01,18756.71,13965.89,28215.69
2025-09-08,19933.28,14168.82,34109.54
2025-09-15,20197.99,13868.79,34493.26
2025-09-22,19080.48,13004.15,24307.78
2025-09-29,18018.61,14665.8,25916.12
2025-10-06,21955.61,13888.15,23213.57
2025-10-13,19190.94,12563.55,25549.11
2025-10-20,18830.64,13584.85,24634.24
2025-10-27,19329.15,13920.33,25328.78
2025-11-03,18874.02,15701.72,34310.19
2025-11-10,21583.8,15184.34,35038.92
2025-11-17,19667.41,17461.27,27480.28
2025-11-24,18979.72,17341.79,24865.33
2025-12-01,19921.01,17496.24,22182.14
2025-12-08,21215.8,17062.2,27866.47
2025-12-15,20602.38,17277.99,27251.27
2025-12-22,21263.35,17505.03,26125.78
2025-12-29,22044.15,19334.85,33410.51
2026-01-05,20884.48,18857.92,33950.66
2026-01-12,21773.14,17974.42,25894.35
2026-01-19,23005.36,15932.18,27484.97
2026-01-26,24657.79,19499.32,25425.86
2026-02-02,23602.32,18722.32,22883.8
2026-02-09,22091.75,13683.61,22362.5
2026-02-16,25378.66,14866.46,25590.58
2026-02-23,25037.5,14117.91,35371.77
2026-03-02,23561.48,14873.0,33044.48
2026-03-09,24762.53,13145.44,24991.4
2026-03-16,25588.69,14435.79,25785.1
2026-03-23,24145.39,13727.69,26325.37
2026-03-30,24681.76,13449.2,24117.49
2026-04-06,24074.41,14207.61,22577.1
2026-04-13,23120.31,13274.65,27905.45
