Date,Revenue
2024-01-01,101550.08
2024-01-08,99327.01
2024-01-15,103070.28
2024-01-22,97825.69
2024-01-29,100327.27
2024-02-05,101933.09
2024-02-12,101541.13
2024-02-19,97261.01
2024-02-26,103359.92
2024-03-04,98852.16
2024-03-11,103397.86
2024-03-18,102647.4
2024-03-25,102660.2
2024-04-01,98749.3
2024-04-08,103601.25
2024-04-15,100078.17
2024-04-22,102055.73
2024-04-29,107184.33
2024-05-06,99077.25
2024-05-13,102922.71
2024-05-20,98132.44
2024-05-27,100716.41
2024-06-03,102823.95
2024-06-10,101318.5
2024-06-17,99404.43
2024-06-24,97226.72
2024-07-01,101490.38
2024-07-08,98103.0
2024-07-15,96661.5
2024-07-22,98155.9
2024-07-29,95796.6
2024-08-05,99409.9
2024-08-12,99337.6
2024-08-19,99858.34
2024-08-26,96878.1
2024-09-02,103031.9
2024-09-09,96876.42
2024-09-16,97778.4
2024-09-23,99015.46
2024-09-30,99536.45
2024-10-07,103297.86
2024-10-14,101621.14
2024-10-21,96664.59
2024-10-28,96462.87
2024-11-04,99438.55
2024-11-11,98140.79
2024-11-18,97017.07
2024-11-25,99608.14
2024-12-02,100674.93
2024-12-09,99144.79
2024-12-16,98088.6
2024-12-23,99985.49
2024-12-30,104077.04
2025-01-06,97822.72
2025-01-13,101859.85
2025-01-20,99258.63
2025-01-27,100546.3
2025-02-03,101678.9
2025-02-10,102116.75
2025-02-17,99075.69
2025-02-24,100278.36
2025-03-03,103824.81
2025-03-10,105134.99
2025-03-17,101436.81
2025-03-24,107339.24
2025-03-31,102601.79
2025-04-07,96615.27
2025-04-14,99496.01
2025-04-21,102216.37
2025-04-28,104681.95
2025-05-05,99679.61
2025-05-12,100108.03
2025-05-19,101108.18
2025-05-26,97633.4
2025-06-02,102955.65
2025-06-09,97533.69
2025-06-16,105154.5
2025-06-23,98904.23
2025-06-30,94642.97
2025-07-07,104278.19
2025-07-14,94569.43
2025-07-21,104175.8
2025-07-28,96990.04
2025-08-04,95104.05
2025-08-11,99009.1
2025-08-18,98527.9
2025-08-25,97754.59
2025-09-01,97635.37
2025-09-08,97715.25
2025-09-15,99622.89
2025-09-22,95890.43
2025-09-29,101696.76
2025-10-06,96844.81
2025-10-13,98505.21
2025-10-20,102327.06
2025-10-27,100360.97
2025-11-03,100100.33
2025-11-10,96421.0
2025-11-17,98495.96
2025-11-24,96305.4
2025-12-01,99688.18
2025-12-08,100596.26
2025-12-15,95472.27
2025-12-22,100006.49
2025-12-29,99046.99
2026-01-05,103654.84
2026-01-12,99923.51
2026-01-19,101975.8
2026-01-26,100532.1
2026-02-02,101956.82
2026-02-09,97310.65
2026-02-16,98132.16
2026-02-23,98782.4
2026-03-02,104908.54
2026-03-09,99885.59
2026-03-16,103610.65
2026-03-23,105263.1
2026-03-30,103144.9
2026-04-06,104013.79
2026-04-13,98058.94
